layer,cos_ASR_Mixed,relfrob_ASR_Mixed,meanangle_deg_ASR_Mixed,cos_ASR_QA,relfrob_ASR_QA,meanangle_deg_ASR_QA,cos_Mixed_QA,relfrob_Mixed_QA,meanangle_deg_Mixed_QA,cos_to_I_ASR,diag_energy_ratio_ASR,cos_to_I_Mixed,diag_energy_ratio_Mixed,cos_to_I_QA,diag_energy_ratio_QA
20,0.9504021054136393,0.31610051398352906,47.09595639296329,0.8265187524427178,0.635137795469355,60.86743100210532,0.959865249118815,0.31986840852443,30.638192162621994,0.7061270893473942,0.5003559904204036,0.7074431831521348,0.50217544416345,0.642605852604085,0.4144596830883641
21,0.9531972670047685,0.3085189692467039,47.226833365550924,0.837224057516507,0.6205047408600304,62.4010134538945,0.9627293185585565,0.31021055520280666,32.34801117776333,0.7256116435957003,0.5281892016472752,0.7219520824955254,0.5228638738810426,0.6557489597139815,0.4314809283627159
22,0.9564062293308431,0.2988824376341079,50.05411744158535,0.8483558194550849,0.601887370493517,63.66544616603334,0.9654055076854187,0.29952938599024576,32.284708958438536,0.7533305484949647,0.5693035850654373,0.7444128038178808,0.5558998594611313,0.6763864149410478,0.4590687785967301
23,0.9589352322937001,0.2917318030957329,48.40493983067473,0.8576002235986833,0.5885949270624685,63.108776955785636,0.9677457889550872,0.29118451080670443,30.69914907399888,0.7762188470760493,0.604355451022892,0.7625267906045735,0.5832571908199558,0.6930305904855311,0.48191837262550763
24,0.9625374193189736,0.2790163611462003,49.19294374984702,0.8689451248543124,0.5636041634911398,63.52435394010281,0.970144260530238,0.27866935486233935,31.238507934587364,0.797222546006095,0.6374939803109863,0.7815425297247109,0.6127092651794045,0.713528797399593,0.5108434795121867
25,0.9652934721340978,0.2696565124744989,48.11641033952038,0.8780357474287167,0.5457807860462596,62.88508384052469,0.9721725812113258,0.2692340428751385,31.243565080426233,0.8191608612780564,0.6729723392888809,0.8006474653593977,0.6429553766411099,0.7328821857526474,0.5388535192270274
26,0.9680126232156614,0.2593059287486315,47.23426446482978,0.8866428983683313,0.5257870550668869,62.09413948483784,0.9739853042951135,0.2594332119896196,28.41872514784063,0.8376881453992151,0.703673968850334,0.8173528699511211,0.6699790148395223,0.7505889839618161,0.565126040039026
27,0.9716692130793677,0.2442069538901936,48.59320236817231,0.8983098279251359,0.49590750730275407,63.02404968154328,0.9764304108348891,0.24501972459611,31.034964267317346,0.8581666365807211,0.7384589454340774,0.836911165161471,0.7023931353626082,0.7731363930489955,0.5995685702540527
28,0.9774233862310919,0.2177750821840469,52.197031966606836,0.9176148664954663,0.4411239772646161,63.96399765057884,0.9806781879846667,0.2180051029412924,30.28434913268987,0.8843642496282949,0.7840884801799267,0.8637154333271392,0.747972594700344,0.8076145197943729,0.6541189691295275
29,0.9811107843408466,0.1992269144067647,47.70614909292941,0.9297853940633144,0.40458688731589904,58.6378111558778,0.9832819637171103,0.200581724616306,25.864734087908893,0.9098948687117676,0.8297479788947781,0.8881805035095154,0.790726901409333,0.8355891788444102,0.7000486275414464
30,0.9930575911799389,0.11889941491015907,40.027362900661174,0.9736543487067315,0.23562419475653643,46.55953942023291,0.9936609059655751,0.1161579305871212,32.60870592251659,0.9448035746530579,0.8943939540404477,0.9347504301575185,0.8756291902929996,0.9124220534332911,0.8345135287971722
